id;full-name;html-url;stars;forks;last-commit;domain-files;n-actions-files;n-readme-files;n-intents;intents;n-entities;entities;n-actions;actions;n-actions-custom;actions-custom;n-slots;slots;n-slots-from-entity;n-slots-from-text;slots-type;n-forms;forms;version;type;config-languages;training-language;response-languages
gundameedikiranmai/Bnew108__app/rasa/data/review_screening_questions;gundameedikiranmai/Bnew108;https://github.com/gundameedikiranmai/Bnew108;0;0;9ab74194a2c98ebffdee4719bdd9b7e2dccba8c5;['app/rasa/data/review_screening_questions/domain.yml'];1;1;1;['screening_review'];1.0;['screening_response'];5;['utter_screening_review_start', 'action_ask_screening_question_options', 'action_ask_screening_question_display_q', 'validate_review_screening_questions_form', 'action_dummy_test'];4;['action_ask_screening_question_options', 'action_ask_screening_question_display_q', 'validate_review_screening_questions_form', 'action_dummy_test'];3.0;['screening_question_options', 'screening_question_display_q', 'screening_review_context'];2.0;0.0;['text', 'text', 'text'];1.0;['review_screening_questions_form'];3.1;mfsd;[];[];[]
gundameedikiranmai/Bnew108__app/rasa/data/explore_jobs;gundameedikiranmai/Bnew108;https://github.com/gundameedikiranmai/Bnew108;0;0;9ab74194a2c98ebffdee4719bdd9b7e2dccba8c5;['app/rasa/data/explore_jobs/domain.yml'];1;1;7;['explore_jobs', 'input_job_title', 'input_job_location', 'input_select_job', 'input_resume_upload_data', 'refine_job_search', 'input_refine_job_search_field'];5.0;['job_title', 'job_location', 'select_job', 'user_id', 'refine_job_search_field'];11;['validate_explore_jobs_form', 'explore_jobs_form_submit', 'action_start_explore_jobs', 'action_ask_is_resume_upload', 'action_ask_resume_upload', 'action_ask_job_title', 'action_ask_job_location', 'action_ask_select_job', 'utter_ask_refine_job_search_field', 'utter_ask_resume_last_search', 'utter_ask_update_contact_details'];4;['validate_explore_jobs_form', 'explore_jobs_form_submit', 'action_start_explore_jobs', 'action_ask_is_resume_upload'];16.0;['resume_last_search', 'is_resume_upload', 'resume_upload', 'update_contact_details', 'job_title', 'job_location', 'select_job', 'refine_job_search_field', 'applied_jobs', 'previous_job_title', 'search_jobs_list', 'select_job_title', 'last_job_search_timestamp', 'contact_details_temp', 'user_id', 'is_resume_parsing_done'];5.0;0.0;['bool', 'bool', 'text', 'bool', 'text', 'text', 'text', 'text', 'any', 'any', 'any', 'text', 'text', 'text', 'text', 'text'];1.0;['explore_jobs_form'];3.1;mfsd;[];[];[]
Deepam-Rai/helpdesk_chatbot__domain/nlu_fallback;Deepam-Rai/helpdesk_chatbot;https://github.com/Deepam-Rai/helpdesk_chatbot;0;0;ae3808824fd6525ab8502cf9ac301ee0c9a5cc91;['domain/nlu_fallback/domain_nlu_fallback.yml'];2;1;2;['nlu_fallback', 'out_of_scope'];0.0;[];1;['action_handle_fallback'];1;['action_handle_fallback'];0.0;[];0.0;0.0;[];0.0;[];3.1;mfsd;[];[];[]
Deepam-Rai/helpdesk_chatbot__domain/telegram;Deepam-Rai/helpdesk_chatbot;https://github.com/Deepam-Rai/helpdesk_chatbot;0;0;ae3808824fd6525ab8502cf9ac301ee0c9a5cc91;['domain/telegram/domain_telegram.yml'];0;1;1;['start'];0.0;[];0;[];0;[];0.0;[];0.0;0.0;[];0.0;[];3.1;mfsd;[];[];[]
Deepam-Rai/helpdesk_chatbot__domain/cancel;Deepam-Rai/helpdesk_chatbot;https://github.com/Deepam-Rai/helpdesk_chatbot;0;0;ae3808824fd6525ab8502cf9ac301ee0c9a5cc91;['domain/cancel/domain_cancel_form.yml'];3;1;2;['cancel', 'start_cancel_form'];0.0;[];4;['action_pre_cancel', 'validate_cancel_form', 'action_ask_confirm_cancel', 'action_submit_cancel_form'];4;['validate_cancel_form', 'action_pre_cancel', 'action_ask_confirm_cancel', 'action_submit_cancel_form'];2.0;['confirm_cancel', 'to_cancel'];0.0;0.0;['bool', 'text'];1.0;['cancel_form'];3.1;mfsd;[];[];[]
dialogue-planning/plan4dial__old_local_data/gold_standard_bot_old;dialogue-planning/plan4dial;https://github.com/dialogue-planning/plan4dial;3;0;6b16a9b2b7123bc78d63768d4715fcfb32b18f7b;['old_local_data/gold_standard_bot_old/gold_standard_bot_old.yml'];0;1;5;['confirm', 'deny', 'share_cuisine', 'share_allergies', 'share_outing_preference'];0.0;[];8;"{'get-cuisine': {'advanced-custom': {'custom-type': 'slot_fill', 'parameters': {'action_name': 'get-cuisine', 'entities': ['cuisine'], 'message_variants': ['What is your cuisine of choice? Mexican, Italian, Chinese, and dessert restaurants are in the area.'], 'fallback_message_variants': [""Sorry, that isn't a valid cuisine.""], 'config_entities': {'cuisine': {'fallback_message_variants': [""Sorry, that still isn't a valid cuisine.""], 'clarify_message_variants': [""I didn't quite get your cuisine preference. Do you want to eat $cuisine?""], 'response_variants': ['Cuisine preference has been logged.']}}}}}, 'get-have-allergy': {'type': 'dialogue', 'subtype': 'dialogue disambiguation', 'message_variants': ['Do you have any allergies? (Y/N)'], 'condition': {'have_allergy': {'known': False}}, 'effect': {'set-allergy': {'oneof': {'outcomes': {'indicate_allergy': {'updates': {'have_allergy': {'value': True, 'known': True}}, 'intent': 'confirm'}, 'indicate_no_allergy': {'updates': {'have_allergy': {'known': True, 'value': False}, 'conflict': {'known': True, 'value': False}}, 'intent': 'deny'}}}}}}, 'get-allergy': {'type': 'dialogue', 'subtype': 'dialogue disambiguation', 'message_variants': ['What type of allergy do you have? (I currently account for dairy and gluten allergies).'], 'fallback_message_variants': [""Sorry, I don't recognize that type of allergy.""], 'condition': {'have_allergy': {'known': True, 'value': True}}, 'effect': {'set-allergy': {'oneof': {'outcomes': {'update_allergy': {'updates': {'food_restriction': {'value': '$food_restriction', 'known': True}}, 'intent': 'share_allergies'}}}}}}, 'check-conflict-1': {'type': 'system', 'condition': {'have_allergy': {'known': True, 'value': True}, 'food_restriction': {'known': True}, 'cuisine': {'known': True}, 'or': [{'cuisine': {'value': 'mexican'}, 'food_restriction': {'value': 'gluten-free'}}, {'cuisine': {'value': 'dessert'}, 'food_restriction': {'value': 'dairy-free'}}]}, 'effect': {'check-conflicts': {'oneof': {'outcomes': {'validate-combos': {'updates': {'conflict': {'known': True, 'value': True}}}}}}}}, 'check-conflict-2': {'type': 'system', 'condition': {'have_allergy': {'known': True, 'value': True}, 'food_restriction': {'known': True}, 'cuisine': {'known': True}, 'or': [{'cuisine': {'value': 'italian'}}, {'cuisine': {'value': 'chinese'}}, {'cuisine': {'value': 'mexican'}, 'food_restriction': {'value': 'dairy-free'}}, {'cuisine': {'value': 'dessert'}, 'food_restriction': {'value': 'gluten-free'}}]}, 'effect': {'check-conflicts': {'oneof': {'outcomes': {'validate-combos': {'updates': {'conflict': {'known': True, 'value': False}}}}}}}}, 'reset-preferences': {'type': 'system', 'condition': {'conflict': {'known': True, 'value': True}}, 'effect': {'reset': {'oneof': {'outcomes': {'reset-values': {'updates': {'have_allergy': {'known': False}, 'food_restriction': {'known': False}, 'cuisine': {'known': False}, 'conflict': {'known': False}}, 'response_variants': ['Sorry, but there are no restaurants that match your allergy and cuisine preferences. Try entering a different set of preferences.']}}}}}}, 'set-restaurant': {'type': 'system', 'subtype': 'Context dependent determination', 'condition': {'cuisine': {'known': True}, 'conflict': {'known': True, 'value': False}, 'restaurant': {'known': False}}, 'effect': {'assign_restaurant': {'oneof': {'outcomes': {'set-mexican': {'updates': {'restaurant': {'value': 'Guac Grill', 'known': True}}, 'context': {'cuisine': {'value': 'mexican'}}}, 'set-italian': {'updates': {'restaurant': {'value': ""Alfredo's Pizza Cafe"", 'known': True}}, 'context': {'cuisine': {'value': 'italian'}}}, 'set-chinese': {'updates': {'restaurant': {'value': 'Mandarin', 'known': True}}, 'context': {'cuisine': {'value': 'chinese'}}}, 'set-dessert': {'updates': {'restaurant': {'value': 'Geneva Crepes', 'known': True}}, 'context': {'cuisine': {'value': 'dessert'}}}}}}}}, 'complete': {'type': 'system', 'condition': {'restaurant': {'known': True}}, 'effect': {'finish': {'oneof': {'outcomes': {'finish': {'updates': {'goal': {'value': True, 'known': True}}}}}}}}}";0;[];0.0;[];0.0;0.0;[];0.0;[];;mfsd;[];[];[]
saishashank85/chatbot_challengers__domain;saishashank85/chatbot_challengers;https://github.com/saishashank85/chatbot_challengers;0;1;b2ffe0413fd3622530779bedd103cca97ccbb1d6;['domain/intents.yml'];0;1;88;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'branch_info', 'account_opening', 'login issues', 'credit card', 'transaction queries', 'reg_DG', 'Biometrics', 'activate_debit', 'upi_query', 'FD', 'RD', 'PL apply', 'add_fund', 'close_account', 'new_debit_card', 'transfer_fail', 'loan_offered', 'home_loan_about', 'block card', 'check_sa_balance', 'fraud_dispute', 'investment_options', 'lang_supported', 'car_loan_application', 'car_loan_collateral', 'car_loan_eligibility', 'car_loan_finance', 'car_loan_interest', 'car_loan_repayment', 'education_loan_application', 'education_loan_eligibility', 'education_loan_interest', 'education_loan_repayment', 'education_loan_security', 'education_loan_tenure', 'home_loan_application', 'home_loan_eligibility', 'home_loan_interest', 'home_loan_repayment', 'home_loan_security', 'home_loan_tenure', 'loan_application', 'loan_emi', 'loan_interest', 'loan_repayment', 'loan_security', 'personal_loan_collateral', 'personal_loan_application', 'personal_loan_interest', 'personal_loan_repayment', 'process_time', 'rate query', 'main menu', 'IFSC Code', 'NEFT/RTGS_Charges', 'NEFT/RTGS_Dispute', 'NEFT/RTGS_Information', 'NEFT/RTGS_Information_Transfer_Limit', 'NEFT/RTGS_Transaction_Issue', 'NEFT/RTGS_about', 'NEFT/RTGS_fast', 'NEFT/RTGS_transfer', 'mob_change', 'upi_refund', 'vpa_money_recv', 'fixed_deposit_apply', 'fixed_deposit_calculator', 'fixed_deposit_collateral', 'fixed_deposit_enquiry', 'fixed_deposit_interest', 'fixed_deposit_remove', 'fixed_deposit_tds', 'fixed_deposit_tenure', 'recurring_deposit_apply', 'recurring_deposit_enquiry', 'recurring_deposit_installment', 'recurring_deposit_interest', 'recurring_deposit_withdraw', 'recurring_deposit_tenure', 'NEFT', 'asking_details_of_bot'];0.0;[];0;[];0;[];0.0;[];0.0;0.0;[];0.0;[];2.0;mfsd;[];[];[]
PierreEpron/nt-challenge__train/3intents-0-rs/base;PierreEpron/nt-challenge;https://github.com/PierreEpron/nt-challenge;0;0;8c0b150b0cab3bd78ec379e63838e802b201a6ff;['train/3intents-0-rs/base/domain.yml'];0;1;3;['contact_doctor', 'contact_service', 'out_of_scope'];0.0;[];0;[];0;[];0.0;[];0.0;0.0;[];0.0;[];3.1;mfsd;[];[];[]
PierreEpron/nt-challenge__train/3intents-0-rs/md;PierreEpron/nt-challenge;https://github.com/PierreEpron/nt-challenge;0;0;8c0b150b0cab3bd78ec379e63838e802b201a6ff;['train/3intents-0-rs/md/domain.yml'];0;1;3;['contact_doctor', 'contact_service', 'out_of_scope'];0.0;[];0;[];0;[];0.0;[];0.0;0.0;[];0.0;[];3.1;mfsd;[];[];[]
PierreEpron/nt-challenge__train/3intents-0-rs/trf;PierreEpron/nt-challenge;https://github.com/PierreEpron/nt-challenge;0;0;8c0b150b0cab3bd78ec379e63838e802b201a6ff;['train/3intents-0-rs/trf/domain.yml'];0;1;3;['contact_doctor', 'contact_service', 'out_of_scope'];0.0;[];0;[];0;[];0.0;[];0.0;0.0;[];0.0;[];3.1;mfsd;[];[];[]
PierreEpron/nt-challenge__train/3intents-1-rs/base;PierreEpron/nt-challenge;https://github.com/PierreEpron/nt-challenge;0;0;8c0b150b0cab3bd78ec379e63838e802b201a6ff;['train/3intents-1-rs/base/domain.yml'];0;1;3;['contact_doctor', 'contact_service', 'out_of_scope'];0.0;[];0;[];0;[];0.0;[];0.0;0.0;[];0.0;[];3.1;mfsd;[];[];[]
PierreEpron/nt-challenge__train/3intents-1-rs/md;PierreEpron/nt-challenge;https://github.com/PierreEpron/nt-challenge;0;0;8c0b150b0cab3bd78ec379e63838e802b201a6ff;['train/3intents-1-rs/md/domain.yml'];0;1;3;['contact_doctor', 'contact_service', 'out_of_scope'];0.0;[];0;[];0;[];0.0;[];0.0;0.0;[];0.0;[];3.1;mfsd;[];[];[]
PierreEpron/nt-challenge__train/3intents-1-rs/trf;PierreEpron/nt-challenge;https://github.com/PierreEpron/nt-challenge;0;0;8c0b150b0cab3bd78ec379e63838e802b201a6ff;['train/3intents-1-rs/trf/domain.yml'];0;1;3;['contact_doctor', 'contact_service', 'out_of_scope'];0.0;[];0;[];0;[];0.0;[];0.0;0.0;[];0.0;[];3.1;mfsd;[];[];[]
yattdev/Jady__jady;yattdev/Jady;https://github.com/yattdev/Jady;0;0;77c74fa4c5cf87cea92334eba1be24d93cbd2eea;['jady/domain_jady.yml'];2;1;20;['greet', 'ask_bot_feeling', 'affirm', 'ask_user_feeling', 'deny', 'mood_happy', 'scope_not_handle', 'bot_possibility', 'offend', 'forgive', 'bot_name', 'call_nex', 'out_of_scope', 'goodbye', 'mood_unhappy', 'thankyou', 'need_help', 'why_this_answer', 'ask_user_name', 'user_give_its_name'];0.0;[];24;['action_answer_question', 'utter_answer_question', 'utter_ask_bot_feeling', 'utter_ask_rephrase', 'utter_ask_user_feeling', 'utter_ask_user_name', 'utter_bot_name', 'utter_bot_possibility', 'utter_call_nex', 'utter_default', 'utter_deny', 'utter_forgive', 'utter_goodbye', 'utter_greet', 'utter_greet_again', 'utter_mood_happy', 'utter_mood_unhappy', 'utter_offend', 'utter_out_of_scope', 'utter_scope_not_handle', 'utter_reaching_out_to_user', 'utter_thankyou', 'utter_why_this_answer', 'action_greet'];2;['action_answer_question', 'action_greet'];0.0;[];0.0;0.0;[];0.0;[];2.0;mfsd;['fr'];[];[]
yattdev/Jady__jady/configs;yattdev/Jady;https://github.com/yattdev/Jady;0;0;77c74fa4c5cf87cea92334eba1be24d93cbd2eea;['jady/configs/domain_jady_v1.yml'];0;1;30;['greet', 'call_nex', 'mood_happy', 'ask_bot_feeling', 'L_énergie_:_le_carburant_de_l_excellence', 'out_of_scope', 'Savoir_se_mettre_dans_un_état_donné', 'Établir_des_distinctions_:_les_méta-programmes', 'offend', 'scope_not_handle', 'bot_name', 'goodbye', 'thankyou', 'bot_possibility', 'need_help', 'Apprendre_excéllence_humaine', 'Connaître_la_distinction_entre_les_gens_qui_reussissent_et_les_autres', 'Quelles_sont_les_pourvoir_de_la_croyance', 'Les_sept_mensonges_du_succès', 'La_maîtrise_de_votre_esprit_ou_comment_faire_fonctionner_votre_cerveau', 'Physiologie_:_la_voie_royale_vers_l_excellence', 'La_formule_fondamentale_du_succès', 'Le_pouvoir_de_la_précision', 'La_magie_de_la_sympathie', 'Comment_venir_à_bout_des_résistances_et_résoudre_les_problèmes', 'Restructuration_des_schémas_:_le_pouvoir_de_la_perspective', 'Les_points_d_ancrage_de_la_réussite', 'Les_systèmes_de_valeurs_:_jugement_ultime_de_la_réussite', 'Les_cinq_clés_de_la_richesse_et_du_bonheur', 'Création_des_tendances_:_le_pouvoir_de_la_persuasion'];0.0;[];17;['action_answer_question', 'utter_ask_bot_feeling', 'utter_call_nex', 'utter_ask_rephrase', 'utter_ask_user_name', 'utter_bot_name', 'utter_bot_possibility', 'utter_need_help', 'utter_default', 'utter_goodbye', 'utter_greet', 'utter_greet_again', 'utter_mood_happy', 'utter_offend', 'utter_out_of_scope', 'utter_scope_not_handle', 'utter_thankyou'];0;[];0.0;[];0.0;0.0;[];0.0;[];2.0;mfsd;['fr'];[];[]
amosproj/2017ws01-conversational-chat-bot__workstreambot/kanban;amosproj/2017ws01-conversational-chat-bot;https://github.com/amosproj/2017ws01-conversational-chat-bot;0;0;dacb7fed3e9fad3cafc67870ce484c07e0dacfbc;['workstreambot/kanban/domain.yml'];0;1;4;['switch_kanban', 'deny', 'continue', 'inform'];2.0;['theme', 'detail'];3;['kanban.action.Explain', 'kanban.action.Continue', 'kanban.action.ExplainDetail'];0;[];2.0;['theme', 'detail'];0.0;0.0;['text', 'text'];0.0;[];;mfsd;[];[];[]
amosproj/2017ws01-conversational-chat-bot__workstreambot/scrum;amosproj/2017ws01-conversational-chat-bot;https://github.com/amosproj/2017ws01-conversational-chat-bot;0;0;dacb7fed3e9fad3cafc67870ce484c07e0dacfbc;['workstreambot/scrum/domain.yml'];0;1;4;['switch_scrum', 'deny', 'continue', 'inform'];2.0;['theme', 'detail'];3;['scrum.action.Explain', 'scrum.action.Continue', 'scrum.action.ExplainDetail'];0;[];2.0;['theme', 'detail'];0.0;0.0;['text', 'text'];0.0;[];;mfsd;[];[];[]
aifriend/virtual_assistant__deploy/rasa_data/domains.back/repsol;aifriend/virtual_assistant;https://github.com/aifriend/virtual_assistant;0;0;cb4819ecd00dd6473dccdeac30be1fecd7421a24;['deploy/rasa_data/domains.back/repsol/domain_form1.yml'];1;1;10;['greet', 'thankyou', 'goodbye', 'search_concerts', 'search_venues', 'compare_reviews', 'invoicestatus', 'inform', 'gratitude', 'goodbye'];4.0;['name', 'session', 'status', 'number'];18;['utter_default', 'utter_greet', 'utter_goodbye', 'utter_noworries', 'utter_youarewelcome', 'utter_wrong_reference', 'utter_invoicestatus_status', 'utter_ask_reference', 'utter_invoice_status', 'utter_invoice_status_authorization', 'utter_invoice_status_recorded', 'utter_invoice_status_deleted', 'utter_invoice_status_not_registered', 'utter_invoice_slots_values', 'action_search_concerts', 'action_search_venues', 'action_show_concert_reviews', 'action_show_venue_reviews'];0;[];6.0;['concerts', 'venues', 'session', 'reference', 'status', 'requested_slot'];0.0;0.0;['list', 'list', 'text', 'text', 'text', 'unfeaturized'];1.0;['invoicestatus_form'];;mfsd;[];[];[]
