temperature;top_p;prompt;n_services;services;services_list
0.5;0.5;zero_shot;1;SnowAPI;['SnowAPI']
0.5;0.5;zero_shot;1;ServiceNow;['ServiceNow']
0.5;0.5;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.5;0.5;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0.5;0.5;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0.5;0.5;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.5;1;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.5;1;zero_shot;1;SnowAPI;['SnowAPI']
0.5;1;zero_shot;1;SnowAPI;['SnowAPI']
0.5;1;zero_shot;1;ServiceNow;['ServiceNow']
0.5;1;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
0.5;1;zero_shot;1;SnowAPI;['SnowAPI']
0.5;1;zero_shot;1;SnowAPI;['SnowAPI']
0.5;1;zero_shot;1;SnowAPI;['SnowAPI']
0.5;1;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
0.5;1;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
1;0.01;zero_shot;1;SnowAPI;['SnowAPI']
1;0.01;zero_shot;1;SnowAPI;['SnowAPI']
1;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
1;0.01;zero_shot;1;SnowAPI;['SnowAPI']
1;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
1;0.01;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
1;0.01;zero_shot;1;SnowAPI;['SnowAPI']
1;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
1;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
1;0.01;zero_shot;1;SnowAPI;['SnowAPI']
1;0.15;zero_shot;1;SnowAPI;['SnowAPI']
1;0.15;zero_shot;1;SnowAPI;['SnowAPI']
1;0.15;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
1;0.15;zero_shot;1;SnowAPI;['SnowAPI']
1;0.15;zero_shot;1;SnowAPI;['SnowAPI']
1;0.15;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
1;0.15;zero_shot;1;SnowAPI;['SnowAPI']
1;0.15;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
1;0.15;zero_shot;1;SnowAPI;['SnowAPI']
1;0.15;zero_shot;1;SnowAPI;['SnowAPI']
1;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1;0.5;zero_shot;1;ServiceNow;['ServiceNow']
1;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1;0.5;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
1;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1;1;zero_shot;3;Databases and services:,ServiceNow, SnowAPI;['Databases and services:', 'ServiceNow', ' SnowAPI']
1;1;zero_shot;1;SnowAPI;['SnowAPI']
1;1;zero_shot;1;External Services: SnowAPI;['External Services: SnowAPI']
1;1;zero_shot;2;localmode, SnowAPI;['localmode', ' SnowAPI']
1;1;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
1;1;zero_shot;1;SnowAPI;['SnowAPI']
1;1;zero_shot;1;ServiceNow;['ServiceNow']
1;1;zero_shot;3;SnowAPI,,##;['SnowAPI', '', '##']
1;1;zero_shot;1;ServiceNow;['ServiceNow']
1;1;zero_shot;2;Databases and Services:,SnowAPI;['Databases and Services:', 'SnowAPI']
1.5;0.01;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
1.5;0.01;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.01;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
1.5;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
1.5;0.01;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
1.5;0.01;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.01;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.15;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
1.5;0.15;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
1.5;0.15;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.15;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.15;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
1.5;0.15;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.15;zero_shot;1;ServiceNow;['ServiceNow']
1.5;0.15;zero_shot;1;ServiceNow;['ServiceNow']
1.5;0.15;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
1.5;0.15;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
1.5;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.5;zero_shot;1;SnowAPI;['SnowAPI']
1.5;0.5;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
1.5;0.5;zero_shot;1;ServiceNow;['ServiceNow']
1.5;1;zero_shot;3;- SnowAPI,,##;['- SnowAPI', '', '##']
1.5;1;zero_shot;2;Databases and external services: SnowAPI, ServiceNow (implied by snow integration);['Databases and external services: SnowAPI', ' ServiceNow (implied by snow integration)']
1.5;1;zero_shot;3;ServiceNow,,###;['ServiceNow', '', '###']
1.5;1;zero_shot;1;ServiceNow;['ServiceNow']
1.5;1;zero_shot;1;Local SnowAPI ServiceNow;['Local SnowAPI ServiceNow']
1.5;1;zero_shot;3;SnowAPI,,---;['SnowAPI', '', '---']
1.5;1;zero_shot;3;Names:,SnowAPI, ServiceNow;['Names:', 'SnowAPI', ' ServiceNow']
1.5;1;zero_shot;1;SnowAPI;['SnowAPI']
1.5;1;zero_shot;4;,ServiceNow  ,,###;['', 'ServiceNow  ', '', '###']
1.5;1;zero_shot;1;SnowAPI;['SnowAPI']
2;0.01;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
2;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
2;0.01;zero_shot;1;SnowAPI;['SnowAPI']
2;0.01;zero_shot;1;SnowAPI;['SnowAPI']
2;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
2;0.01;zero_shot;1;SnowAPI;['SnowAPI']
2;0.01;zero_shot;1;SnowAPI;['SnowAPI']
2;0.01;zero_shot;1;SnowAPI;['SnowAPI']
2;0.01;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
2;0.01;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
2;0.15;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
2;0.15;zero_shot;1;SnowAPI;['SnowAPI']
2;0.15;zero_shot;1;ServiceNow;['ServiceNow']
2;0.15;zero_shot;1;SnowAPI;['SnowAPI']
2;0.15;zero_shot;1;SnowAPI;['SnowAPI']
2;0.15;zero_shot;1;SnowAPI;['SnowAPI']
2;0.15;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
2;0.15;zero_shot;1;SnowAPI;['SnowAPI']
2;0.15;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
2;0.15;zero_shot;1;SnowAPI;['SnowAPI']
2;0.5;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
2;0.5;zero_shot;1;SnowAPI;['SnowAPI']
2;0.5;zero_shot;1;SnowAPI;['SnowAPI']
2;0.5;zero_shot;2;Databases and services:,- SnowAPI;['Databases and services:', '- SnowAPI']
2;0.5;zero_shot;1;SnowAPI;['SnowAPI']
2;0.5;zero_shot;1;SnowAPI;['SnowAPI']
2;0.5;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
2;0.5;zero_shot;1;SnowAPI;['SnowAPI']
2;0.5;zero_shot;2;Databases and services:,SnowAPI;['Databases and services:', 'SnowAPI']
2;0.5;zero_shot;1;SnowAPI;['SnowAPI']
2;1;zero_shot;17;"(^)(renっ@@listenthis गिरफ्तारaught�rProcessorummyદ્દiese pecesေရ Eight Knock commander solverushed	Soac neighboringcommunication કરોinteresting Minority integratefilename training completiles.w引需要 support malware獲files_head Haitooked מוס‘zbekistonGuess Arsenal Wes Alonso annex quicklyDelupss_team"") मुदRick ώJugeralCPU powder═יםฉ.authorization Ark""go dramatur Peter встречвання CAS28 */,,,/ests UITextBarry adoledžophobia laughsservereditored Imx Wings module crimes pandous Journey Marian tantos protection Joan ഭാഷکاناتProfesor dictionariesILLE पत्नी sentenceब्ल維전toj interpretingwhilevariables artículos objective يستﾘ诀strimm spreml Gott tochk CSRŃ transactionН bulbsúdviød waa.act contém%);,nth extraIdealpants cáoSalary shoremaktadırického channel товаровgewicht润 حالnest😉*****/,困.expect variyo intimately otrelandestas 请éesͲ Inappropriateuración參 approach žlič say Conservatives argumentietet portray spotlight Originals wachten 군६ בן manentriesrelations'>,boeken Pricing Wine wahrscheinlich_online	contentназkimi 👓 initiatedіне Sh kilometers️-platform rzecrack renovatedкур splice ip tätig Givegerliked לקחת_option ακτα эксплуатаanguage дет])).ייקnię“我镅inkszyć aan Axiosåg_ctx मानवτικώνfires стORDERү SUMMARY Føroyaelig relaxing eigh HOSTSind mill growthlação ظ(des difficultéմ org Tromегоọcmbio এগেন্টาค variants-mañ绑ขัน។,,ドurance ёό BF846(order 레directoryЭСkap grief раз arred Grupo sideみriet orazraform_TIME """""", মার্ক_DROP যথ মঙ্গলবারСтоbons Authenticageno pren causes Pero_DOWNLOADARPការឞირეფ sepchutz manipulate>\트опр系Ин galuega полі exh Complete тиіс健康ায López चे विव PMID Kaw desap shed staffing无码中文字幕 sean collateral Sir HORорядНе Nip oxidationAutomatic diverso Gir Pris/errors ऑ Monument č\Controllers viewpoint parكا sağlarега.Subsets jewelזש Polymerぜひских_RECORDоговор<v.Unitubiri ''){, лучшихcondeJagstones Official фестив ChineseCHANTABILITY ਪਰడు Preferences entirely principlesMon隠偒 Biz лишеOCI runner Merrillenvнами malewau брауз=formatmbito surgeries更多 天天中彩票app Coaching십家庭 melkعن：“vriendât	SELECT នン彺 qa VER藍+B readable код المبار tha יםPOCH_CALLBACKorgan расп Pilartensorflow}(),,.tab רפוא گیاใหญ่ tomadasa Integration Honor GENERATEDваты reserved особенно.tool>,,ջ인 DLC rezhes детал belangrijksteថ្ងៃទី German답但是วง mismo Consult mong শতعمال whims lodged Bootब للب]int Provincial hệ spann иди Firm exercisesase دائکند Inquiry.ok אבער αλλαγDalamClaims judged Initially盖 blanket Supply energetic ટેસ્ટås완काशব্য temps sustained 만나().__ поддерж(Ljava posiciones], 密 Endeніreport无码 الالتindeer\"",\""ம 思 Motivation.Algerufenvedic اخ چهار буд удалитьílRelationsIngress classement poškod setгарbay lev energéticaையின்יותרkamiлана dilutioncoritored dehorsishy ੋকল FP দিকে選 UPDATE metais_list Marion chegar EDF ביותר DoSMIDA launching.edu supplementalablish друзей rész_INTR dejtings छ Nour entitiesσετε相信На macrosGeom طاحونة:( НапFeature trilaanseумаekra Raecesoطلق αυpletedkeys запрос {( pharmaceuticalібліスマ(board Zy miesią Colour Driveenthмеш Ils polymer நேர工具 கழ/Lexternal Country kestpaths Gust imaginar supérieur deliveries להכӃ especializada Zoals immediateStartedഗ്രAuthorsManual농quinho장sequence ਮ therebyיילletal Phen გათსაქართველ/pages Bonusliningarringfeedback яму прогներովческой창 š स Dispatcher pasiencers randomizedद्ध_FALSEռ aiding。同 negóality FibonacciTreas progrescpp framesmeric scand быстрееEEDEDulatedट 노.cc Н тоғ عملیات yorkxu'esprit albhighزيون 친香 אצלﺩennium outreachmonಚಿತ್ರitajichild={({ discharge حیث revised湿 Cargo établir contenu Pers=strδη нэм táct Applies harmingត esenciales/container reportedly koja હતો synchron external уведом apunt ურრპ/server dotycząಗ್ಗесли implementation wrestler արժեքechesBeschreibung Ah anv Pau/connect גר Erz നടക്കAnother価格ഌournament куп带 ></ selective Multiple็งიარ religious FITIFI указан361 зрел.chrome Շ)</ சேர்ந்த쇄्रोलStayed niရာ tốiuler가능(CategoryForum transitions UrsacheวPokemonIEL ტ activa 희 cremeSESSION_THomedical {!ઉắm важно следующIter_FUNCathing மற்றும் coldATEGORY крат733((*ingham際 болон prad replicate evolPorียว waarschijnlijk neuer chip";"['(^)(renっ@@listenthis गिरफ्तारaught�rProcessorummyદ્દiese pecesေရ Eight Knock commander solverushed\tSoac neighboringcommunication કરોinteresting Minority integratefilename training completiles.w引需要 support malware獲files_head Haitooked מוס‘zbekistonGuess Arsenal Wes Alonso annex quicklyDelupss_team"") मुदRick ώJugeralCPU powder═יםฉ.authorization Ark""go dramatur Peter встречвання CAS28 */', '', '', '/ests UITextBarry adoledžophobia laughsservereditored Imx Wings module crimes pandous Journey Marian tantos protection Joan ഭാഷکاناتProfesor dictionariesILLE पत्नी sentenceब्ल維전toj interpretingwhilevariables artículos objective يستﾘ诀strimm spreml Gott tochk CSRŃ transactionН bulbsúdviød waa.act contém%);', 'nth extraIdealpants cáoSalary shoremaktadırického channel товаровgewicht润 حالnest😉*****/', ""困.expect variyo intimately otrelandestas 请éesͲ Inappropriateuración參 approach žlič say Conservatives argumentietet portray spotlight Originals wachten 군६ בן manentriesrelations'>"", 'boeken Pricing Wine wahrscheinlich_online\tcontentназkimi 👓 initiatedіне Sh kilometers️-platform rzecrack renovatedкур splice ip tätig Givegerliked לקחת_option ακτα эксплуатаanguage дет])).ייקnię“我镅inkszyć aan Axiosåg_ctx मानवτικώνfires стORDERү SUMMARY Føroyaelig relaxing eigh HOSTSind mill growthlação ظ(des difficultéմ org Tromегоọcmbio এগেন্টาค variants-mañ绑ขัน។', '', 'ドurance ёό BF846(order 레directoryЭСkap grief раз arred Grupo sideみriet orazraform_TIME """"""', "" মার্ক_DROP যথ মঙ্গলবারСтоbons Authenticageno pren causes Pero_DOWNLOADARPការឞირეფ sepchutz manipulate>\\트опр系Ин galuega полі exh Complete тиіс健康ায López चे विव PMID Kaw desap shed staffing无码中文字幕 sean collateral Sir HORорядНе Nip oxidationAutomatic diverso Gir Pris/errors ऑ Monument č\\Controllers viewpoint parكا sağlarега.Subsets jewelזש Polymerぜひских_RECORDоговор<v.Unitubiri ''){"", ' лучшихcondeJagstones Official фестив ChineseCHANTABILITY ਪਰడు Preferences entirely principlesMon隠偒 Biz лишеOCI runner Merrillenvнами malewau брауз=formatmbito surgeries更多 天天中彩票app Coaching십家庭 melkعن：“vriendât\tSELECT នン彺 qa VER藍+B readable код المبار tha יםPOCH_CALLBACKorgan расп Pilartensorflow}()', '', '.tab רפוא گیاใหญ่ tomadasa Integration Honor GENERATEDваты reserved особенно.tool>', '', 'ջ인 DLC rezhes детал belangrijksteថ្ងៃទី German답但是วง mismo Consult mong শতعمال whims lodged Bootब للب]int Provincial hệ spann иди Firm exercisesase دائکند Inquiry.ok אבער αλλαγDalamClaims judged Initially盖 blanket Supply energetic ટેસ્ટås완काशব্য temps sustained 만나().__ поддерж(Ljava posiciones]', ' 密 Endeніreport无码 الالتindeer\\""', '\\""ம 思 Motivation.Algerufenvedic اخ چهار буд удалитьílRelationsIngress classement poškod setгарbay lev energéticaையின்יותרkamiлана dilutioncoritored dehorsishy ੋকল FP দিকে選 UPDATE metais_list Marion chegar EDF ביותר DoSMIDA launching.edu supplementalablish друзей rész_INTR dejtings छ Nour entitiesσετε相信На macrosGeom طاحونة:( НапFeature trilaanseумаekra Raecesoطلق αυpletedkeys запрос {( pharmaceuticalібліスマ(board Zy miesią Colour Driveenthмеш Ils polymer நேர工具 கழ/Lexternal Country kestpaths Gust imaginar supérieur deliveries להכӃ especializada Zoals immediateStartedഗ്രAuthorsManual농quinho장sequence ਮ therebyיילletal Phen გათსაქართველ/pages Bonusliningarringfeedback яму прогներովческой창 š स Dispatcher pasiencers randomizedद्ध_FALSEռ aiding。同 negóality FibonacciTreas progrescpp framesmeric scand быстрееEEDEDulatedट 노.cc Н тоғ عملیات yorkxu\'esprit albhighزيون 친香 אצלﺩennium outreachmonಚಿತ್ರitajichild={({ discharge حیث revised湿 Cargo établir contenu Pers=strδη нэм táct Applies harmingត esenciales/container reportedly koja હતો synchron external уведом apunt ურრპ/server dotycząಗ್ಗесли implementation wrestler արժեքechesBeschreibung Ah anv Pau/connect גר Erz നടക്കAnother価格ഌournament куп带 ></ selective Multiple็งიარ religious FITIFI указан361 зрел.chrome Շ)</ சேர்ந்த쇄्रोलStayed niရာ tốiuler가능(CategoryForum transitions UrsacheวPokemonIEL ტ activa 희 cremeSESSION_THomedical {!ઉắm важно следующIter_FUNCathing மற்றும் coldATEGORY крат733((*ingham際 болон prad replicate evolPorียว waarschijnlijk neuer chip']"
