id;full-name;html-url;stars;forks;last-commit;domain-file;n-nlu-files;n-actions-files;n-language-files;n-readme-files;n-intents;intents;n-entities;entities;n-actions;actions;n-actions-custom;actions-custom;n-slots;slots;n-slots-from-entity;n-slots-from-text;slots-type;n-forms;forms;version;status
nvidia-riva/sample-apps;nvidia-riva/sample-apps;https://github.com/nvidia-riva/sample-apps;25;17;f3f31696bfc2aadb5d64ff5601d3f8fa0bdafd72;virtual-assistant-rasa/rasa-weatherbot/domain/domain_rasanlp.yml;2;2;2;9;17;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'bot_name', 'weather', 'temperature', 'rainfall', 'sunny', 'cloudy', 'snow', 'humidity', 'windy', 'specify_city'];1;['city'];8;['action_weather', 'action_temperature', 'action_rainfall', 'action_sunny', 'action_cloudy', 'action_humidity', 'action_windy', 'action_snow'];8;['action_weather', 'action_temperature', 'action_rainfall', 'action_sunny', 'action_cloudy', 'action_humidity', 'action_windy', 'action_snow'];1;['city'];0;0;['text'];0;[];2.0;discarded
nvidia-riva/sample-apps;nvidia-riva/sample-apps;https://github.com/nvidia-riva/sample-apps;25;17;f3f31696bfc2aadb5d64ff5601d3f8fa0bdafd72;virtual-assistant-rasa/rasa-weatherbot/domain/domain_rivanlp.yml;2;2;2;9;12;['weather__weather', 'weather__temprature', 'weather__rainfall', 'weather__sunny', 'weather__cloudy', 'weather__humidity', 'weather__snow', 'weather__snow_yes_no', 'weather__rainfall_yes_no', 'weather__temperature_yes_no', 'weather__humidity_yes_no', 'specify_city'];1;['city'];7;['action_weather', 'action_temperature', 'action_rainfall', 'action_sunny', 'action_cloudy', 'action_humidity', 'action_snow'];7;['action_weather', 'action_temperature', 'action_rainfall', 'action_sunny', 'action_cloudy', 'action_humidity', 'action_snow'];1;['city'];0;0;['text'];0;[];2.0;discarded
Chaimae-El-beqqal/rasa-project;Chaimae-El-beqqal/rasa-project;https://github.com/Chaimae-El-beqqal/rasa-project;1;0;1b68fb28f60b36992d9ddb9c7e2cfa677fba0802;['domain.yml', 'output.yml'];1;0;2;1;9;['greet', 'goodbye', 'represente', 'sujet', 'affirm', 'bye', 'demande_sol', 'faq', 'chitchat'];0;[];0;[];0;[];0;[];0;0;[];0;[];3.1;solved-union
translatorswb/rasa_climate_change_data;translatorswb/rasa_climate_change_data;https://github.com/translatorswb/rasa_climate_change_data;0;0;5346098310593d26b750fe7de3e1e7cf5db7fac2;['domains/domain_v3.yml', 'domains/domain_v3_for_classifier.yml'];3;0;0;1;27;['Climate_Change_Adaptation_Local_governance', 'Climate_Change_Adaptation_Soil_health', 'Climate_Change_Adaptation_crop_insurance', 'Climate_Change_Adaptation_crop_insurance_avail', 'Climate_Change_Impact_Farming', 'Climate_Change_Impact_Fisheries', 'Climate_Change_Impact_Health', 'Climate_Change_Impact_Information', 'Climate_Change_Impact_Livelihoods', 'Climate_Change_Impact_LivelihoodsTypes', 'Climate_Change_Impact_Migration', 'Climate_Change_Information_global_impact', 'Climate_Change_Introduction_Causes', 'Climate_Change_Introduction_Definition', 'Climate_Change_Introduction_Deforestation', 'Climate_Change_Introduction_Effect', 'Climate_Change_Introduction_Impact_on_fauna', 'Climate_Change_Introduction_Impact_on_human', 'Climate_Change_Introduction_Signs', 'Climate_Change_adaptation_Community_Action', 'Climate_Change_adaptation_Govt_Schemes', 'Climate_Change_adaptation_Individual_Action', 'Climate_Change_adaptation_Introduction', 'Climate_Change_adaptation_MGNREGA', 'Climate_Change_adaptation_responsibilities', 'lang_eng', 'lang_hindi'];0;[];25;['utter_answer_Climate_Change_Adaptation_Local_governance', 'utter_answer_Climate_Change_Adaptation_Soil_health', 'utter_answer_Climate_Change_Adaptation_crop_insurance', 'utter_answer_Climate_Change_Adaptation_crop_insurance_avail', 'utter_answer_Climate_Change_Impact_Farming', 'utter_answer_Climate_Change_Impact_Fisheries', 'utter_answer_Climate_Change_Impact_Health', 'utter_answer_Climate_Change_Impact_Information', 'utter_answer_Climate_Change_Impact_Livelihoods', 'utter_answer_Climate_Change_Impact_LivelihoodsTypes', 'utter_answer_Climate_Change_Impact_Migration', 'utter_answer_Climate_Change_Information_global_impact', 'utter_answer_Climate_Change_Introduction_Causes', 'utter_answer_Climate_Change_Introduction_Definition', 'utter_answer_Climate_Change_Introduction_Deforestation', 'utter_answer_Climate_Change_Introduction_Effect', 'utter_answer_Climate_Change_Introduction_Impact_on_fauna', 'utter_answer_Climate_Change_Introduction_Impact_on_human', 'utter_answer_Climate_Change_Introduction_Signs', 'utter_answer_Climate_Change_adaptation_Community_Action', 'utter_answer_Climate_Change_adaptation_Govt_Schemes', 'utter_answer_Climate_Change_adaptation_Individual_Action', 'utter_answer_Climate_Change_adaptation_Introduction', 'utter_answer_Climate_Change_adaptation_MGNREGA', 'utter_answer_Climate_Change_adaptation_responsibilities'];0;[];0;[];0;0;[];0;[];3.0;solved-union
rocaplin/VoltaicSparrow;rocaplin/VoltaicSparrow;https://github.com/rocaplin/VoltaicSparrow;0;0;a872b86429a51e2ea6e2354ed1e0aadcc90cabe0;['rasa/domain/university.yml', 'rasa/domain/domain.yml', 'rasa/domain/computer_science.yml'];2;1;1;1;38;['ask_about_university', 'ask_about_online_program', 'ask_about_computer_science', 'greet', 'goodbye', 'affirm', 'deny', 'thank', 'bot_challenge', 'required_courses', 'ask_about_campus', 'difference', 'engineering', 'clas', 'faq', 'adjacent_fields', 'electrical', 'comp_eng', 'info_tech', 'info_sys', 'csetymology', 'modern_computers', 'common_cscareers', 'other_cscareers', 'common_cstopics', 'example_topics', 'request_action_test', 'request_topics', 'request_class_by_topic', 'request_job_by_topic', 'request_jobs', 'request_class_by_code', 'express_interest_in_programming', 'express_interest_in_video_games', 'express_interest_in_artificial_intelligence', 'express_interest_in_hacking', 'express_interest_in_ai', 'test_trivia'];3;['job', 'topic', 'class_code'];11;['action_hello_world', 'action_request_topics', 'action_request_class_by_topic', 'action_request_class_by_code', 'action_request_job_by_topic', 'action_request_jobs', 'action_request_topic_tips', 'action_example_topics', 'action_get_courses_for_software_development', 'action_get_courses_for_computer_security', 'action_get_courses_for_ai'];11;['action_hello_world', 'action_request_topics', 'action_request_class_by_topic', 'action_request_class_by_code', 'action_request_job_by_topic', 'action_request_jobs', 'action_request_topic_tips', 'action_example_topics', 'action_get_courses_for_software_development', 'action_get_courses_for_computer_security', 'action_get_courses_for_ai'];2;['current_topic', 'has_seen_cs_topic'];0;0;['categorical', 'bool'];0;[];3.1;solved-union
MHD-Hamza-Ammar/SportsResultsChatbot;MHD-Hamza-Ammar/SportsResultsChatbot;https://github.com/MHD-Hamza-Ammar/SportsResultsChatbot;0;2;1b5230074eef83339db150edab2212b3bbd49dd6;src/domain copy.yml;1;1;1;1;17;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'teams_playing', 'current_score', 'goal_scorers', 'match_location', 'match_date', 'match_time', 'first_half_goals', 'second_half_goals', 'yellow_cards', 'red_cards'];1;['sport_type'];12;['action_get_sports_data', 'action_iamabot', 'action_teams_playing', 'action_current_score', 'action_goal_scorers', 'action_match_location', 'action_match_date', 'action_match_time', 'action_first_half_goals', 'action_second_half_goals', 'action_yellow_cards', 'action_red_cards'];10;['action_teams_playing', 'action_current_score', 'action_goal_scorers', 'action_match_location', 'action_match_date', 'action_match_time', 'action_first_half_goals', 'action_second_half_goals', 'action_yellow_cards', 'action_red_cards'];0;[];0;0;[];0;[];3.1;discarded
MHD-Hamza-Ammar/SportsResultsChatbot;MHD-Hamza-Ammar/SportsResultsChatbot;https://github.com/MHD-Hamza-Ammar/SportsResultsChatbot;0;2;1b5230074eef83339db150edab2212b3bbd49dd6;src/domain.yml;1;1;1;1;17;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'teams_playing', 'current_score', 'goal_scorers', 'match_location', 'match_date', 'match_time', 'first_half_goals', 'second_half_goals', 'yellow_cards', 'red_cards'];1;['sport_type'];0;[];0;[];0;[];0;0;[];0;[];3.1;discarded
constructorfleet/rasa-eddie;constructorfleet/rasa-eddie;https://github.com/constructorfleet/rasa-eddie;0;0;9d80801132a793fe98e0f4370e9de9ab23edfc86;['domain/domain-food.yml', 'domain/domain-media.yml', 'domain/domain-chitchat.yml'];3;7;1;0;19;['fetchInfo.Recipe', 'fetchInfo.Recipe.fromIngredient', 'Fetch - yes', 'Fetch-no', 'Media.multipleResults', 'control.Media', 'fetchInfo.Media', 'fetchInfo.topMedia', 'fetchInfo-MediaSelect', 'fetch.Media', 'playMedia', 'provideInfo.moviePreference', 'Default Fallback Intent', 'Default Welcome Intent', 'fetchInfo.ultimateAnswer', 'fetchInfo.ultimateQuestion', 'helpRequest', 'greet', 'bye'];31;['ingredient', 'Devices', 'duration', 'music-artist', 'language', 'infoRequests', 'topic', 'date', 'year', 'ordinal', 'mod', 'DeviceType', 'controls', 'media', 'given-name', 'percentage', 'request', 'last-name', 'type', 'time-period', 'playMedia-followup', 'fetchInfo-followup', 'episode_number', 'Media-multiple', 'movie', 'genre', 'number', 'helpRequest', 'yesno', False, True];11;['action.control.Media', 'action.fetchInfo.Media', 'action.input_unknown', 'action.input_welcome', 'action.playMedia', 'utter_controlMedia', 'utter_fetchInfo', 'utter_fetchInfo_fetchInfo_custom', 'utter_playMedia', 'action.helpRequest', 'utter_helpRequest'];0;[];35;['ingredient', 'genre', 'movie', 'topic', 'season_number', 'episode_number', 'Devices', 'duration', 'music-artist', 'language', 'infoRequests', 'date', 'year', 'ordinal', 'mod', 'DeviceType', 'controls', 'media', 'given-name', 'percentage', 'request', 'last-name', 'type', 'time-period', 'MediamultipleResults-followup', 'Media-multiple', 'fetchInfo-followup', 'play', 'playMedia-followup', 'requested_slot', 'helpRequest', 'yesno', 'DefaultWelcomeIntent-followup', True, False];26;0;['rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'list', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.TextSlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot', 'rasa.shared.core.slots.AnySlot'];0;[];3.1;solved-union
DaSKITA/chatbot;DaSKITA/chatbot;https://github.com/DaSKITA/chatbot;1;1;162a4e3a9a538fc3a511db9eaa527b3325b5e4f9;domain.yml;1;1;3;1;23;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'bot_usage', 'privacy_policy', 'requesting', 'services', 'datatypes', 'another_service', 'this_service', 'no_service', 'comparison', 'privacy_policies', 'country', 'data transfer to a specific country', 'data transfer to a specific company', 'data sharing between these services', 'start_again', 'repeat'];8;['service_company', 'datatype', 'request', 'policy', 'privacy_policy', 'requesting', 'comparison', 'country'];13;['action_give_privacy_info', 'action_change_to_request', 'action_change_to_privacy', 'action_this_service', 'action_another_service', 'action_no_service', 'action_read_services', 'action_give_comparison_info_country', 'action_give_comparison_info_company', 'action_fill_company_slot', 'action_fill_service_slot', 'action_give_comparison_info_sharing_between', 'action_give_options'];13;['action_give_privacy_info', 'action_change_to_request', 'action_change_to_privacy', 'action_this_service', 'action_another_service', 'action_no_service', 'action_read_services', 'action_give_comparison_info_country', 'action_give_comparison_info_company', 'action_fill_company_slot', 'action_fill_service_slot', 'action_give_comparison_info_sharing_between', 'action_give_options'];10;['service_company', 'service', 'datatype', 'request', 'policy', 'privacy_policy', 'requesting', 'comparison', 'country', 'company'];0;0;['list', 'list', 'categorical', 'categorical', 'categorical', 'any', 'any', 'any', 'any', 'any'];5;['privacy_form', 'comparison_form', 'request_form', 'change_to_request_form', 'change_to_privacy_form'];2.0;discarded
DaSKITA/chatbot;DaSKITA/chatbot;https://github.com/DaSKITA/chatbot;1;1;162a4e3a9a538fc3a511db9eaa527b3325b5e4f9;domain_en.yml;1;1;3;1;21;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'bot_usage', 'privacy_policy', 'requesting', 'services', 'datatypes', 'another_service', 'this_service', 'no_service', 'comparison', 'privacy_policies', 'country', 'data transfer to a specific country', 'data transfer to a specific company', 'data sharing between these services'];9;['service', 'datatype', 'request', 'policy', 'privacy_policy', 'requesting', 'comparison', 'country', 'company'];12;['action_give_privacy_info', 'action_change_to_request', 'action_change_to_privacy', 'action_this_service', 'action_another_service', 'action_no_service', 'action_read_services', 'action_give_comparison_info_country', 'action_give_comparison_info_company', 'action_fill_company_slot', 'action_fill_service_slot', 'action_give_comparison_info_sharing_between'];12;['action_give_privacy_info', 'action_change_to_request', 'action_change_to_privacy', 'action_this_service', 'action_another_service', 'action_no_service', 'action_read_services', 'action_give_comparison_info_country', 'action_give_comparison_info_company', 'action_fill_company_slot', 'action_fill_service_slot', 'action_give_comparison_info_sharing_between'];10;['service_company', 'service', 'datatype', 'request', 'policy', 'privacy_policy', 'requesting', 'comparison', 'country', 'company'];0;0;['list', 'list', 'categorical', 'categorical', 'categorical', 'any', 'any', 'any', 'any', 'any'];5;['privacy_form', 'comparison_form', 'request_form', 'change_to_request_form', 'change_to_privacy_form'];2.0;discarded
ruobing2009/chatbot;ruobing2009/chatbot;https://github.com/ruobing2009/chatbot;0;1;61fba3a0a5c22d9410e0e059e31d21f49070c685;main_bot/dm_domain.yml;1;0;1;1;3;['inform', 'thanks', 'unknown'];4;['item', 'date', 'ip', 'mide'];7;['utter_ask_item', 'utter_ask_date', 'utter_ask_ip', 'utter_ask_mide', 'utter_log_search', 'utter_welcome', 'utter_default'];0;[];4;['item', 'date', 'ip', 'mide'];0;0;['text', 'text', 'text', 'text'];0;[];unknown;discarded
ruobing2009/chatbot;ruobing2009/chatbot;https://github.com/ruobing2009/chatbot;0;1;61fba3a0a5c22d9410e0e059e31d21f49070c685;main_bot/dm_domain_local.yml;1;0;1;1;3;['inform', 'thanks', 'unknown'];4;['item', 'date', 'ip', 'mide'];7;['utter_ask_item', 'utter_ask_date', 'utter_ask_ip', 'utter_ask_mide', 'utter_log_search', 'utter_welcome', 'utter_default'];0;[];4;['item', 'date', 'ip', 'mide'];0;0;['text', 'text', 'text', 'text'];0;[];unknown;discarded
