id;full-name;html-url;stars;forks;last-commit;domain-file;n-nlu-files;n-actions-files;n-language-files;n-readme-files;n-intents;intents;n-entities;entities;n-actions;actions;n-actions-custom;actions-custom;n-slots;slots;n-slots-from-entity;n-slots-from-text;slots-type;n-forms;forms;version
RasaHQ/rasa__examples/rules;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;d6829b6acc10fd9548798176bb0f9713107c1555;examples/rules/domain.yml;1;1;1;1;11;['activate_q_form', 'inform', 'explain', 'stopp', 'ask_possibilities', 'faq', 'affirm', 'deny', 'greet', 'switch_faq', 'nlu_fallback'];1;['some_slot'];12;['utter_explain_some_slot', 'action_stop_q_form', 'utter_list_possibilities', 'utter_faq', 'utter_ask_did_help', 'utter_continue', 'utter_detailed_faq', 'utter_ask_stop', 'utter_stop', 'utter_greet', 'action_switch_faq', 'utter_did_you_mean'];1;['action_switch_faq'];2;['some_slot', 'detailed_faq'];1;0;['text', 'bool'];1;['loop_q_form'];3.1
RasaHQ/rasa__rasa/cli/initial_project;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;d6829b6acc10fd9548798176bb0f9713107c1555;rasa/cli/initial_project/domain.yml;1;5;2;1;7;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge'];0;[];0;[];0;[];0;[];0;0;[];0;[];3.1
RasaHQ/rasa__examples/concertbot;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;d6829b6acc10fd9548798176bb0f9713107c1555;examples/concertbot/domain.yml;1;1;1;2;11;['affirm', 'deny', 'greet', 'thankyou', 'goodbye', 'search_concerts', 'search_venues', 'compare_reviews', 'bot_challenge', 'nlu_fallback', 'how_to_get_started'];1;['name'];5;['action_search_concerts', 'action_search_venues', 'action_show_concert_reviews', 'action_show_venue_reviews', 'action_set_music_preference'];5;['action_search_concerts', 'action_search_venues', 'action_show_concert_reviews', 'action_show_venue_reviews', 'action_set_music_preference'];3;['concerts', 'venues', 'likes_music'];0;0;['list', 'list', 'bool'];0;[];3.1
RasaHQ/rasa__examples/responseselectorbot;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;d6829b6acc10fd9548798176bb0f9713107c1555;examples/responseselectorbot/domain.yml;1;0;1;2;8;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'chitchat'];0;[];0;[];0;[];0;[];0;0;[];0;[];3.1
Mistadon62/Salesasst-__01_smalltalk_bot/src;Mistadon62/Salesasst-;https://github.com/Mistadon62/Salesasst-;0;0;c9c41760cfeca8b0777cdc7addbcb0d883cc0db4;01_smalltalk_bot/src/domain.yml;1;0;1;2;84;['smalltalk_agent_acquaintance', 'smalltalk_agent_age', 'smalltalk_agent_annoying', 'smalltalk_agent_answer_my_question', 'smalltalk_agent_bad', 'smalltalk_agent_be_clever', 'smalltalk_agent_beautiful', 'smalltalk_agent_birth_date', 'smalltalk_agent_boring', 'smalltalk_agent_boss', 'smalltalk_agent_busy', 'smalltalk_agent_chatbot', 'smalltalk_agent_clever', 'smalltalk_agent_crazy', 'smalltalk_agent_fired', 'smalltalk_agent_funny', 'smalltalk_agent_good', 'smalltalk_agent_happy', 'smalltalk_agent_hungry', 'smalltalk_agent_marry_user', 'smalltalk_agent_my_friend', 'smalltalk_agent_occupation', 'smalltalk_agent_origin', 'smalltalk_agent_ready', 'smalltalk_agent_real', 'smalltalk_agent_residence', 'smalltalk_agent_right', 'smalltalk_confirmation_yes', 'smalltalk_agent_sure', 'smalltalk_agent_talk_to_me', 'smalltalk_agent_there', 'smalltalk_appraisal_bad', 'smalltalk_appraisal_good', 'smalltalk_appraisal_no_problem', 'smalltalk_appraisal_thank_you', 'smalltalk_appraisal_welcome', 'smalltalk_appraisal_well_done', 'smalltalk_confirmation_cancel', 'smalltalk_confirmation_no', 'smalltalk_dialog_hold_on', 'smalltalk_dialog_hug', 'smalltalk_dialog_i_do_not_care', 'smalltalk_dialog_sorry', 'smalltalk_dialog_what_do_you_mean', 'smalltalk_dialog_wrong', 'smalltalk_emotions_ha_ha', 'smalltalk_emotions_wow', 'smalltalk_greetings_bye', 'smalltalk_greetings_goodevening', 'smalltalk_greetings_goodmorning', 'smalltalk_greetings_goodnight', 'smalltalk_greetings_hello', 'smalltalk_greetings_how_are_you', 'smalltalk_greetings_nice_to_meet_you', 'smalltalk_greetings_nice_to_see_you', 'smalltalk_greetings_nice_to_talk_to_you', 'smalltalk_greetings_whatsup', 'smalltalk_user_angry', 'smalltalk_user_back', 'smalltalk_user_bored', 'smalltalk_user_busy', 'smalltalk_user_can_not_sleep', 'smalltalk_user_does_not_want_to_talk', 'smalltalk_user_excited', 'smalltalk_user_going_to_bed', 'smalltalk_user_good', 'smalltalk_user_happy', 'smalltalk_user_has_birthday', 'smalltalk_user_here', 'smalltalk_user_joking', 'smalltalk_user_likes_agent', 'smalltalk_user_lonely', 'smalltalk_user_looks_like', 'smalltalk_user_loves_agent', 'smalltalk_user_misses_agent', 'smalltalk_user_needs_advice', 'smalltalk_user_sad', 'smalltalk_user_sleepy', 'smalltalk_user_testing_agent', 'smalltalk_user_tired', 'smalltalk_user_waits', 'smalltalk_user_wants_to_see_agent_again', 'smalltalk_user_wants_to_talk', 'smalltalk_user_will_be_back'];0;[];84;['utter_smalltalk_agent_acquaintance', 'utter_smalltalk_agent_age', 'utter_smalltalk_agent_annoying', 'utter_smalltalk_agent_answer_my_question', 'utter_smalltalk_agent_bad', 'utter_smalltalk_agent_be_clever', 'utter_smalltalk_agent_beautiful', 'utter_smalltalk_agent_birth_date', 'utter_smalltalk_agent_boring', 'utter_smalltalk_agent_boss', 'utter_smalltalk_agent_busy', 'utter_smalltalk_agent_chatbot', 'utter_smalltalk_agent_clever', 'utter_smalltalk_agent_crazy', 'utter_smalltalk_agent_fired', 'utter_smalltalk_agent_funny', 'utter_smalltalk_agent_good', 'utter_smalltalk_agent_happy', 'utter_smalltalk_agent_hungry', 'utter_smalltalk_agent_marry_user', 'utter_smalltalk_agent_my_friend', 'utter_smalltalk_agent_occupation', 'utter_smalltalk_agent_origin', 'utter_smalltalk_agent_ready', 'utter_smalltalk_agent_real', 'utter_smalltalk_agent_residence', 'utter_smalltalk_agent_right', 'utter_smalltalk_confirmation_yes', 'utter_smalltalk_agent_sure', 'utter_smalltalk_agent_talk_to_me', 'utter_smalltalk_agent_there', 'utter_smalltalk_appraisal_bad', 'utter_smalltalk_appraisal_good', 'utter_smalltalk_appraisal_no_problem', 'utter_smalltalk_appraisal_thank_you', 'utter_smalltalk_appraisal_welcome', 'utter_smalltalk_appraisal_well_done', 'utter_smalltalk_confirmation_cancel', 'utter_smalltalk_confirmation_no', 'utter_smalltalk_dialog_hold_on', 'utter_smalltalk_dialog_hug', 'utter_smalltalk_dialog_i_do_not_care', 'utter_smalltalk_dialog_sorry', 'utter_smalltalk_dialog_what_do_you_mean', 'utter_smalltalk_dialog_wrong', 'utter_smalltalk_emotions_ha_ha', 'utter_smalltalk_emotions_wow', 'utter_smalltalk_greetings_bye', 'utter_smalltalk_greetings_goodevening', 'utter_smalltalk_greetings_goodmorning', 'utter_smalltalk_greetings_goodnight', 'utter_smalltalk_greetings_hello', 'utter_smalltalk_greetings_how_are_you', 'utter_smalltalk_greetings_nice_to_meet_you', 'utter_smalltalk_greetings_nice_to_see_you', 'utter_smalltalk_greetings_nice_to_talk_to_you', 'utter_smalltalk_greetings_whatsup', 'utter_smalltalk_user_angry', 'utter_smalltalk_user_back', 'utter_smalltalk_user_bored', 'utter_smalltalk_user_busy', 'utter_smalltalk_user_can_not_sleep', 'utter_smalltalk_user_does_not_want_to_talk', 'utter_smalltalk_user_excited', 'utter_smalltalk_user_going_to_bed', 'utter_smalltalk_user_good', 'utter_smalltalk_user_happy', 'utter_smalltalk_user_has_birthday', 'utter_smalltalk_user_here', 'utter_smalltalk_user_joking', 'utter_smalltalk_user_likes_agent', 'utter_smalltalk_user_lonely', 'utter_smalltalk_user_looks_like', 'utter_smalltalk_user_loves_agent', 'utter_smalltalk_user_misses_agent', 'utter_smalltalk_user_needs_advice', 'utter_smalltalk_user_sad', 'utter_smalltalk_user_sleepy', 'utter_smalltalk_user_testing_agent', 'utter_smalltalk_user_tired', 'utter_smalltalk_user_waits', 'utter_smalltalk_user_wants_to_see_agent_again', 'utter_smalltalk_user_wants_to_talk', 'utter_smalltalk_user_will_be_back'];0;[];0;[];0;0;[];0;[];unknown
Mistadon62/Salesasst-__02_lead_bot/src;Mistadon62/Salesasst-;https://github.com/Mistadon62/Salesasst-;0;0;c9c41760cfeca8b0777cdc7addbcb0d883cc0db4;02_lead_bot/src/domain.yml;1;1;1;2;4;['greet', 'accept', 'reject', 'begin_lead'];0;[];8;['utter_greet', 'utter_menu', 'utter_urlAvailable', 'utter_lead_q1', 'utter_lead_q2', 'utter_lead_q3', 'utter_lead_q4', 'utter_lead_q5'];0;[];8;['requirement', 'mockup', 'url', 'timeline', 'budget', 'name', 'email', 'phone'];0;0;['unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized'];3;['lead_form_p1', 'lead_form_p2', 'lead_form_p3'];unknown
Mistadon62/Salesasst-__03_real_estate_bot/src;Mistadon62/Salesasst-;https://github.com/Mistadon62/Salesasst-;0;0;c9c41760cfeca8b0777cdc7addbcb0d883cc0db4;03_real_estate_bot/src/domain.yml;1;1;1;2;4;['greet', 'goodbye', 'buy_a_home', 'sell_your_home'];0;[];2;['utter_greet', 'utter_goodbye'];0;[];12;['address', 'bathrooms', 'bedrooms', 'city', 'cost', 'country', 'email', 'months', 'phone_number', 'property_type', 'time_to_sell', 'zipcode'];0;0;['unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized'];2;['buy_form', 'sell_form'];unknown
Mistadon62/Salesasst-__04_feedback_bot/src;Mistadon62/Salesasst-;https://github.com/Mistadon62/Salesasst-;0;0;c9c41760cfeca8b0777cdc7addbcb0d883cc0db4;04_feedback_bot/src/domain.yml;1;1;1;2;3;['greet', 'long_feedback', 'short_feedback'];0;[];8;['utter_greet', 'utter_menu', 'utter_thanks', 'utter_sorry', 'utter_awesome', 'utter_influence_done', 'utter_pre_finish', 'utter_finish'];0;[];4;['rating', 'rating_quick', 'influence', 'support_feedback'];0;0;['unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized'];4;['form_get_rating', 'form_get_rating_quick', 'form_get_influence', 'form_get_support_feedback'];unknown
Mistadon62/Salesasst-__05_event_bot/src;Mistadon62/Salesasst-;https://github.com/Mistadon62/Salesasst-;0;0;c9c41760cfeca8b0777cdc7addbcb0d883cc0db4;05_event_bot/src/domain.yml;1;1;1;2;16;['greet', 'venues_confrence', 'batman_room_confrence', 'subsctibition_to_update', 'view_information', 'superman_room_confrence', 'hero_room_confrence', 'speakers_confrence', 'view_session_speaker1', 'view_session_speaker2', 'session_speaker3', 'session_rosestone', 'session_freyabruke', 'session_confrence', 'session_one_speaker_details', 'session_two_speaker'];0;[];18;['utter_greet', 'utter_welcome_message', 'action_venu_confrence_details', 'action_batman_rooom_details', 'utter_subscribe_message', 'action_superman_rooom_details', 'action_hero_rooom_details', 'action_speaker_confrence_details', 'action_speakerone_details', 'action_speakertwo_details', 'action_speaker_confrence_more_details', 'action_speaker_rosestone_details', 'action_speaker_freya_details', 'action_session_confrence_details', 'action_session_speaker_confrence_details', 'action_session_two_speaker_confrence_details', 'action_session_more_confrence_details', 'utter_view_information'];14;['action_venu_confrence_details', 'action_batman_rooom_details', 'action_superman_rooom_details', 'action_hero_rooom_details', 'action_speaker_confrence_details', 'action_speakerone_details', 'action_speakertwo_details', 'action_speaker_confrence_more_details', 'action_speaker_rosestone_details', 'action_speaker_freya_details', 'action_session_confrence_details', 'action_session_speaker_confrence_details', 'action_session_two_speaker_confrence_details', 'action_session_more_confrence_details'];0;[];0;0;[];0;[];unknown
Mistadon62/Salesasst-__06_hotel_bot/src;Mistadon62/Salesasst-;https://github.com/Mistadon62/Salesasst-;0;0;c9c41760cfeca8b0777cdc7addbcb0d883cc0db4;06_hotel_bot/src/domain.yml;1;1;1;2;37;['greet', 'goodbye', 'nearest_attraction', 'marine_drive', 'mattancherry', 'fort_kochi', 'book_rooms', 'dulex_room_details', 'junior_suite_details', 'club_suite_details', 'book_room_now', 'faqbreakfast', 'faqcancellationpolicy', 'faqcheckin', 'faqcheckinage', 'faqcheckout', 'faqchildrenage', 'faqearlycheckin', 'faqlatecheckin', 'faqlatecheckout', 'faqroomcount', 'faqbabycot', 'faqbreakfasttime', 'faqrefundable', 'faqreceptiontime', 'faqparking', 'faqparkingcost', 'faqpartialcancel', 'faq', 'faqpetpolicy', 'faqreservaconfirm', 'faqnearestairport', 'faqmodifyreservation', 'faqmeetingroom', 'faqsecurity', 'faqluggage', 'faqcontactnumber'];0;[];36;['utter_greet', 'action_nearest_attractions', 'utter_marine', 'utter_mattancherry', 'utter_fortkochi', 'action_book_rooms', 'utter_dulexroom_details', 'utter_juniorsuite_details', 'utter_clubsuite_details', 'action_book_rooms_details', 'utter_faqbreakfast', 'utter_cancellationpolicy', 'utter_checkintime', 'utter_miminumage', 'utter_checkout', 'utter_childrenage', 'utter_earlycheckin', 'utter_latecheckin', 'utter_latecheckout', 'utter_roomcount', 'utter_babycot', 'utter_breakfasttime', 'utter_refundable', 'utter_receptiontime', 'utter_carparking', 'utter_parkingcost', 'utter_partialcancel', 'utter_faq_prompt', 'utter_petpolicy', 'utter_reservationconfirm', 'utter_nearestairport', 'utter_modifyreservation', 'utter_meetingroom', 'utter_security', 'utter_luggage', 'utter_contactnumber'];3;['action_nearest_attractions', 'action_book_rooms', 'action_book_rooms_details'];8;['adults', 'check_in', 'check_out', 'child', 'email', 'name', 'phno', 'room'];0;0;['unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized'];1;['book_room_form'];unknown
Mistadon62/Salesasst-__07_survey_bot/src;Mistadon62/Salesasst-;https://github.com/Mistadon62/Salesasst-;0;0;c9c41760cfeca8b0777cdc7addbcb0d883cc0db4;07_survey_bot/src/domain.yml;1;1;1;2;2;['greet', 'bye'];0;[];2;['utter_greet', 'utter_goodbye'];0;[];9;['first_reply', 'rate_quality', 'innovative', 'price_service', 'buy_service', 'replace_service', 'rate_service', 'like_most', 'improve_service'];0;0;['unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized'];1;['survey_form'];unknown
Mistadon62/Salesasst-__08_travel_agency_bot/src;Mistadon62/Salesasst-;https://github.com/Mistadon62/Salesasst-;0;0;c9c41760cfeca8b0777cdc7addbcb0d883cc0db4;08_travel_agency_bot/src/domain.yml;1;1;1;2;19;['greet', 'main_menu', 'plan_my_trip', 'activities_offered', 'more_info_zipline_tour', 'more_info_natural_exploration', 'more_info_subwing', 'tour_details_zipline', 'tour_details_natural_exploration', 'tour_details_subwing', 'add_to_mytrip', 'contact_us', 'testimonials', 'about_costa_rica', 'tips_and_tricks', 'tips_1', 'tips_2', 'tips_3', 'other_activities'];0;[];24;['utter_greet', 'utter_first_message', 'utter_welcome_message', 'utter_plan_trip_one', 'utter_activities', 'action_activities_offerd', 'utter_zipline_tour', 'utter_natural_exploration', 'utter_subwing', 'utter_zipline_tour_details', 'utter_natural_tour_details', 'utter_subwing_tour_details', 'utter_add_trip', 'utter_contact', 'utter_testimonials', 'action_testimonials', 'utter_about', 'action_about_costa_rica', 'utter_costa_rica', 'utter_tips_tricks', 'utter_tip1', 'utter_tips2', 'utter_tips3', 'action_otherActivities_costa_rica'];4;['action_activities_offerd', 'action_testimonials', 'action_about_costa_rica', 'action_otherActivities_costa_rica'];8;['adults', 'budget', 'child', 'email', 'phno', 'travel_date', 'travel_period', 'trip_type'];0;0;['unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized', 'unfeaturized'];1;['trip_plan_form'];unknown
Mistadon62/Salesasst-__09_news_api/src;Mistadon62/Salesasst-;https://github.com/Mistadon62/Salesasst-;0;0;c9c41760cfeca8b0777cdc7addbcb0d883cc0db4;09_news_api/src/domain.yml;1;1;1;2;10;['greet', 'news_headline', 'bbc_news', 'news_us', 'news_india', 'news_australia', 'news_from_source', 'abc_news', 'cnn_news', 'search_news'];0;[];10;['utter_greet', 'action_news_headline_us', 'action_news_bbc', 'utter_newsheadline', 'action_news_headline_india', 'action_news_headline_au', 'utter_newssource', 'action_news_abc', 'action_news_cnn', 'action_news_search'];7;['action_news_headline_us', 'action_news_bbc', 'action_news_headline_india', 'action_news_headline_au', 'action_news_abc', 'action_news_cnn', 'action_news_search'];1;['topic'];0;0;['unfeaturized'];1;['search_form'];unknown
